release_year,duration_int,rating_encoded,country_encoded,genre_encoded,length_encoded,type_encoded
2020,90.0,7,80,10,1,0
2021,2.0,11,67,16,2,1
2021,1.0,11,81,8,2,1
2021,1.0,11,81,11,2,1
2021,2.0,11,30,16,2,1
2021,1.0,11,81,31,2,1
2021,91.0,6,81,4,1,0
1993,125.0,11,80,12,0,0
2021,9.0,9,79,3,2,1
2021,104.0,7,80,7,1,0
2021,1.0,11,81,8,2,1
2021,1.0,11,81,8,2,1
2021,127.0,11,23,12,0,0
2021,91.0,12,81,4,1,0
2021,1.0,11,81,3,2,1
2021,4.0,11,80,30,2,1
2020,67.0,11,81,10,1,0
2020,2.0,11,45,8,2,1
2021,94.0,9,81,35,1,0
2021,1.0,11,81,16,2,1
2021,1.0,9,81,8,2,1
2018,5.0,9,76,16,2,1
1996,161.0,12,81,7,0,0
2021,61.0,13,81,4,1,0
1998,166.0,9,30,7,0,0
2021,2.0,9,2,11,2,1
1997,147.0,12,81,7,0,0
2010,103.0,7,80,7,1,0
2013,97.0,7,80,13,1,0
2013,106.0,7,80,35,1,0
2021,111.0,9,81,12,1,0
2021,1.0,11,81,30,2,1
2020,3.0,11,79,3,2,1
2021,1.0,11,81,16,2,1
2020,1.0,14,81,17,2,1
2021,110.0,11,81,12,1,0
2021,105.0,11,81,0,1,0
2018,1.0,14,20,17,2,1
2017,96.0,7,13,0,1,0
2021,3.0,14,30,17,2,1
2021,1.0,14,80,17,2,1
1975,124.0,6,80,0,0,0
1978,116.0,6,80,12,1,0
1983,98.0,6,80,0,1,0
1987,91.0,7,80,0,1,0
2021,23.0,6,81,10,2,0
2012,115.0,8,67,0,1,0
2020,1.0,11,81,16,2,1
2001,122.0,8,80,12,0,0
2021,2.0,11,50,16,2,1
2014,1.0,12,30,16,2,1
2002,99.0,9,37,0,1,0
2003,99.0,9,37,0,1,0
2004,88.0,12,37,0,1,0
2001,100.0,12,37,0,1,0
2021,6.0,12,80,21,2,1
2011,102.0,9,37,0,1,0
2008,93.0,12,37,0,1,0
2009,96.0,12,37,0,1,0
2007,95.0,12,37,0,1,0
2010,85.0,9,37,0,1,0
2005,97.0,12,37,0,1,0
2006,95.0,12,37,0,1,0
2004,83.0,12,37,0,1,0
2021,103.0,12,81,4,1,0
2021,6.0,13,79,17,2,1
2014,1.0,10,30,11,2,1
1994,9.0,12,80,17,2,1
2021,113.0,9,81,10,1,0
2015,1.0,12,30,16,2,1
2021,1.0,11,81,16,2,1
2021,13.0,13,81,4,2,0
2021,5.0,11,79,3,2,1
2018,182.0,11,50,12,0,0
2021,2.0,12,81,21,2,1
2021,106.0,10,81,4,1,0
