type,release_year,rating,duration,country,cluster
0,2020,8,90.0,603,1
1,2021,12,2.0,426,0
1,2021,12,1.0,736,0
1,2021,12,1.0,736,0
1,2021,12,2.0,251,0
1,2021,12,1.0,736,0
0,2021,7,91.0,736,1
0,1993,12,125.0,663,2
1,2021,10,9.0,506,0
0,2021,8,104.0,603,1
1,2021,12,1.0,736,0
1,2021,12,1.0,736,0
0,2021,12,127.0,218,2
0,2021,13,91.0,736,1
1,2021,12,1.0,736,0
1,2021,12,4.0,603,0
0,2020,12,67.0,736,3
1,2020,12,2.0,342,0
0,2021,10,94.0,736,1
1,2021,12,1.0,736,0
1,2021,10,1.0,736,0
1,2018,10,5.0,492,0
0,1996,13,161.0,736,2
0,2021,14,61.0,736,3
0,1998,10,166.0,251,2
1,2021,10,2.0,15,0
0,1997,13,147.0,736,2
0,2010,8,103.0,603,1
0,2013,8,97.0,603,1
0,2013,8,106.0,673,1
0,2021,10,111.0,736,1
1,2021,12,1.0,736,0
1,2020,12,3.0,506,0
1,2021,12,1.0,736,0
1,2020,15,1.0,736,0
0,2021,12,110.0,736,1
0,2021,12,105.0,736,1
1,2018,15,1.0,156,0
0,2017,8,96.0,106,1
1,2021,15,3.0,251,0
1,2021,15,1.0,603,0
0,1975,7,124.0,603,2
0,1978,7,116.0,603,2
0,1983,7,98.0,603,1
0,1987,8,91.0,603,1
0,2021,7,23.0,736,0
0,2012,9,115.0,433,1
1,2020,12,1.0,736,0
0,2001,9,122.0,603,2
1,2021,12,2.0,368,0
1,2014,13,1.0,251,0
0,2002,10,99.0,319,1
0,2003,10,99.0,319,1
0,2004,13,88.0,319,1
0,2001,13,100.0,319,1
1,2021,13,6.0,603,0
0,2011,10,102.0,319,1
0,2008,13,93.0,319,1
0,2009,13,96.0,319,1
0,2007,13,95.0,319,1
0,2010,10,85.0,319,1
0,2005,13,97.0,319,1
0,2006,13,95.0,319,1
0,2004,13,83.0,319,3
0,2021,13,103.0,736,1
1,2021,14,6.0,506,0
1,2014,11,1.0,251,0
1,1994,13,9.0,603,0
0,2021,10,113.0,736,1
1,2015,13,1.0,251,0
1,2021,12,1.0,736,0
0,2021,14,13.0,736,0
1,2021,12,5.0,506,0
0,2018,12,182.0,368,2
1,2021,13,2.0,736,0
0,2021,11,106.0,736,1
1,2013,10,1.0,319,0
0,2021,15,48.0,736,3
0,2020,10,145.0,736,2
0,2021,10,145.0,736,2
0,2021,15,93.0,736,1
0,2021,9,106.0,603,1
1,2021,10,6.0,603,0
1,2021,12,1.0,736,0
0,2020,12,147.0,368,2
